序号,酒店名,清洁程度,舒适程度,位置,设施/服务,员工素质,性价比,免费WiFi,评论数,价格,综合评价,离中心地区距离
88,上海翼居自助式服务公寓世纪公园店,8.7,8.7,8.7,8.2,8.8,8.2,8.2,21,800,很棒,7
89,上海金桥红枫万豪酒店,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,NaN,非常好,1
90,上海和平饭店,9.4,9.4,9.6,9.1,9.1,8.4,8,771,NaN,好极了,NaN
91,上海大隐国际青年旅舍（陆家嘴店）,8.2,8.1,7.4,8.3,8.6,8.4,7.1,559,480,非常好,5
92,如家精选上海人民广场金陵东路店,8.3,8.1,8.7,7.9,7.8,7.9,6.8,415,550,非常好,NaN
93,上海子鱼居外滩店,8.1,8.1,9.1,8,8.8,8.2,7.8,969,NaN,非常好,NaN
94,上海粤海酒店,6.8,6.7,6.4,6.6,6.6,6.8,7,25,NaN,评分,NaN
95,上海世纪皇冠假日酒店,8.3,8.3,7.9,8,8.3,7.5,7.3,240,NaN,非常好,7
96,上海品尊名致精品酒店公寓,8.6,8.8,8.3,8.6,8.6,8.6,7.6,NaN,642,很棒,6
97,虹桥郁锦香宾馆,8.1,8,8,8,7.6,7.3,7.3,98,829,好,6
98,几茶知更民宿,9.6,9.5,9.2,9.6,9.8,9.3,8.3,89,799,优异的,9
99,上海证大美爵酒店(原上海证大丽笙酒店),8.2,8.3,8,7.9,7.8,7.6,8.1,592,400,非常好,8
100,上海宝格丽酒店,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN,很棒,NaN
101,上海西藏大厦万怡酒店,8.8,8.6,8.5,8.3,8.6,7.8,7.9,342,NaN,非常好,5
102,Alice's,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,680,NaN,NaN
103,上海虹桥机场枢纽美居酒店,8.1,7.8,8.2,7.4,7.7,7.4,7,NaN,570,好,2
104,上海滨江欣景大酒店,8,7.6,7.9,7.3,7.2,7.3,6.4,975,576,好,NaN
105,上海复旦皇冠假日酒店,8.5,8.4,7.8,8.1,8,7.5,6.4,199,750,非常好,7
106,Amy的家（交通大学旁华山路田园两居）,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,612,NaN,NaN
